Wall time,Step,Value
1556182980.8055983,562600,3.5932902164859115e-07
1556182993.7992313,562900,1.0922323099293862e-06
1556183084.2705376,565000,6.259564315769239e-07
1556183136.331099,566200,7.548209168817266e-07
1556183162.0111933,566800,8.770049362283316e-07
1556183174.471283,567100,4.66525534648099e-07
1556183187.631752,567400,5.237787377154746e-07
1556183240.2930982,568600,8.884985049917304e-07
1556183305.6990561,570100,2.677655288607639e-07
1556183318.720707,570400,3.473696779110469e-07
1556183344.7569435,571000,1.4816185966992634e-06
1556183370.696114,571600,1.0029069699157844e-06
1556183408.9583998,572500,3.581206726721575e-07
1556183435.126435,573100,5.185013378650183e-07
1556183448.2599266,573400,4.0592794903204776e-07
1556183487.4490647,574300,5.166345431462105e-07
1556183566.3665304,576100,9.042273632076103e-07
1556183631.5173786,577600,2.9861422490284895e-07
1556183670.5724528,578500,3.3868644777612644e-07
1556183738.4430578,580000,6.063447131055e-07
1556183790.5444393,581200,2.1408087036434154e-07
1556183843.1555042,582400,6.366598199747386e-07
1556183855.9697592,582700,2.8005507601847057e-07
1556183868.8846698,583000,3.280322005139169e-07
1556183882.0231738,583300,3.474432332950528e-07
